Games,Images Path
Capcom Vs SNK 2: Mark of the Millennium 2001,dataset/Capcom-Vs-SNK-2-Mark-of-the-Millennium-2001-Cover/Image_1.jpg
SNK Vs Capcom: SVC Chaos,dataset/SNK-Vs-Capcom-SVC-Chaos-Cover/Image_1.jpg
SNK Vs Capcom: The Match of the Millennium,dataset/SNK-Vs-Capcom-The-Match-of-the-Millennium-Cover/Image_1.png
SNK Heroines: Tag Team Frenzy,dataset/SNK-Heroines-Tag-Team-Frenzy-Cover/Image_1.jpg
Mortal Kombat,dataset/Mortal-Kombat-Cover/Image_1.jpg
Mortal Kombat II,dataset/Mortal-Kombat-II-Cover/Image_1.jpg
Mortal Kombat 3,dataset/Mortal-Kombat-3-Cover/Image_1.jpg
Ultimate Mortal Kombat 3,dataset/Ultimate-Mortal-Kombat-3-Cover/Image_1.jpg
Mortal Kombat Trilogy,dataset/Mortal-Kombat-Trilogy-Cover/Image_1.jpg
Mortal Kombat 4,dataset/Mortal-Kombat-4-Cover/Image_1.jpg
Mortal Kombat Gold,dataset/Mortal-Kombat-Gold-Cover/Image_1.jpg
Mortal Kombat: Deadly Alliance,dataset/Mortal-Kombat-Deadly-Alliance-Cover/Image_1.jpg
Mortal Kombat: Deception,dataset/Mortal-Kombat-Deception-Cover/Image_1.jpg
Mortal Kombat: Armageddon,dataset/Mortal-Kombat-Armageddon-Cover/Image_1.jpg
Mortal Kombat Vs DC Universe,dataset/Mortal-Kombat-Vs-DC-Universe-Cover/Image_1.jpg
Mortal Kombat 9,dataset/Mortal-Kombat-9-Cover/Image_1.jpg
Mortal Kombat X,dataset/Mortal-Kombat-X-Cover/Image_1.jpg
Mortal Kombat 11,dataset/Mortal-Kombat-11-Cover/Image_1.jpg
Killer Instinct,dataset/Killer-Instinct-Cover/Image_1.jpg
Killer Instinct 2,dataset/Killer-Instinct-2-Cover/Image_1.jpg
Killer Instinct Gold,dataset/Killer-Instinct-Gold-Cover/Image_1.jpg
Killer Instinct (2013),dataset/Killer-Instinct-(2013)-Cover/Image_1.jpg
Killer Instinct Classic,dataset/Killer-Instinct-Classic-Cover/Image_1.jpg
Killer Instinct 2 Classic,dataset/Killer-Instinct-2-Classic-Cover/Image_1.jpg
Injustice: Gods Among Us,dataset/Injustice-Gods-Among-Us-Cover/Image_1.png
Injustice 2,dataset/Injustice-2-Cover/Image_1.jpg
Divekick,dataset/Divekick-Cover/Image_1.jpg
Fantasy Strike,dataset/Fantasy-Strike-Cover/Image_1.jpg
Rising Thunder,dataset/Rising-Thunder-Cover/Image_1.jpg
Samurai Shodown,dataset/Samurai-Shodown-Cover/Image_1.jpg
Samurai Shodown II,dataset/Samurai-Shodown-II-Cover/Image_1.png
Samurai Shodown III,dataset/Samurai-Shodown-III-Cover/Image_1.jpg
Samurai Shodown IV,dataset/Samurai-Shodown-IV-Cover/Image_1.jpg
Samurai Shodown V,dataset/Samurai-Shodown-V-Cover/Image_1.jpg
Samurai Shodown VI,dataset/Samurai-Shodown-VI-Cover/Image_1.jpg
Samurai Shodown 2019,dataset/Samurai-Shodown-2019-Cover/Image_1.jpg
Bloody Roar,dataset/Bloody-Roar-Cover/Image_1.jpg
Bloody Roar 2,dataset/Bloody-Roar-2-Cover/Image_1.jpg
Bloody Roar 3,dataset/Bloody-Roar-3-Cover/Image_1.jpg
Bloody Roar: Primaral Fury,dataset/Bloody-Roar-Primaral-Fury-Cover/Image_1.jpg
Bloddy Roar 4,dataset/Bloddy-Roar-4-Cover/Image_1.jpg
Blood Roar: Extreme,dataset/Blood-Roar-Extreme-Cover/Image_1.png
Fatal Fury,dataset/Fatal-Fury-Cover/Image_1.jpg
Fatal Fury 2,dataset/Fatal-Fury-2-Cover/Image_1.jpg
Fatal Fury 3: Road to the Final Victory,dataset/Fatal-Fury-3-Road-to-the-Final-Victory-Cover/Image_1.jpg
Fatal Fury Special,dataset/Fatal-Fury-Special-Cover/Image_1.jpg
Real Bout Fatal Fury,dataset/Real-Bout-Fatal-Fury-Cover/Image_1.jpg
Real Bout Fatal Fury Special,dataset/Real-Bout-Fatal-Fury-Special-Cover/Image_1.jpg
Real Bout Fatal Fury 2: The Newcomers,dataset/Real-Bout-Fatal-Fury-2-The-Newcomers-Cover/Image_1.jpg
Fatal Fury: Wild Ambition,dataset/Fatal-Fury-Wild-Ambition-Cover/Image_1.jpg
Garou: Mark of the Wolves,dataset/Garou-Mark-of-the-Wolves-Cover/Image_1.jpg
JoJo's Bizarre Adventure: All-Star Battle R,dataset/JoJo's-Bizarre-Adventure-All-Star-Battle-R-Cover/Image_1.jpg
JoJo's Bizarre Adventure: Heritage for the Future,dataset/JoJo's-Bizarre-Adventure-Heritage-for-the-Future-Cover/Image_1.jpg
Footsies,dataset/Footsies-Cover/Image_1.jpg
Persona 4 Arena Ultimax,dataset/Persona-4-Arena-Ultimax-Cover/Image_1.jpg
Soul Calibur,dataset/Soul-Calibur-Cover/Image_1.jpg
Soul Calibur II,dataset/Soul-Calibur-II-Cover/Image_1.jpg
Soul Calibur III,dataset/Soul-Calibur-III-Cover/Image_1.jpg
Soul Calibur IV,dataset/Soul-Calibur-IV-Cover/Image_1.jpg
Soul Calibur V,dataset/Soul-Calibur-V-Cover/Image_1.jpg
Soul Calibur VI,dataset/Soul-Calibur-VI-Cover/Image_1.jpg
Soul Calibur: Broken Destiny,dataset/Soul-Calibur-Broken-Destiny-Cover/Image_1.jpg
Soul Calibur: Lost Swords,dataset/Soul-Calibur-Lost-Swords-Cover/Image_1.jpg
Soul Calibur: Unbreakable Soul,dataset/Soul-Calibur-Unbreakable-Soul-Cover/Image_1.jpg
Soul Calibur: Legends,dataset/Soul-Calibur-Legends-Cover/Image_1.jpg
Dead or Alive,dataset/Dead-or-Alive-Cover/Image_1.jpg
Dead or Alive 2,dataset/Dead-or-Alive-2-Cover/Image_1.jpg
Dead or Alive 3,dataset/Dead-or-Alive-3-Cover/Image_1.jpg
Dead or Alive 4,dataset/Dead-or-Alive-4-Cover/Image_1.jpg
Dead or Alive 5,dataset/Dead-or-Alive-5-Cover/Image_1.jpg
Dead or Alive 6,dataset/Dead-or-Alive-6-Cover/Image_1.png
The Last Blade,dataset/The-Last-Blade-Cover/Image_1.jpg
The Last Blade 2,dataset/The-Last-Blade-2-Cover/Image_1.jpg
Skullgirls 2nd Encore,dataset/Skullgirls-2nd-Encore-Cover/Image_1.jpg
Art of Fighting,dataset/Art-of-Fighting-Cover/Image_1.jpg
Art of Fighting 2,dataset/Art-of-Fighting-2-Cover/Image_1.png
Art of Fighting 3,dataset/Art-of-Fighting-3-Cover/Image_1.jpg
BlazBlue: Calamity Trigger,dataset/BlazBlue-Calamity-Trigger-Cover/Image_1.jpg
BlazBlue: Continuum Shift,dataset/BlazBlue-Continuum-Shift-Cover/Image_1.jpg
BlazBlue: Continuum Shift II,dataset/BlazBlue-Continuum-Shift-II-Cover/Image_1.jpg
BlazBlue: Continuum Shift Extend,dataset/BlazBlue-Continuum-Shift-Extend-Cover/Image_1.jpg
BlazBlue: Chrono Phantasma,dataset/BlazBlue-Chrono-Phantasma-Cover/Image_1.png
