Capcom Vs SNK: Millennium Fight 2000, 2012
Capcom Vs SNK 2: Mark of the Millennium 2001, 2012
SNK Vs Capcom: SVC Chaos, 2012
SNK Vs Capcom: The Match of the Millennium, 2012
SNK Heroines: Tag Team Frenzy, 2012
Mortal Kombat, 2012
Mortal Kombat II, 2012
Mortal Kombat 3, 2012
Ultimate Mortal Kombat 3, 2012
Mortal Kombat Trilogy, 2012
Mortal Kombat 4, 2012
Mortal Kombat Gold, 2012
Mortal Kombat: Deadly Alliance, 2012
Mortal Kombat: Deception, 2012
Mortal Kombat: Armageddon, 2012
Mortal Kombat Vs DC Universe, 2012
Mortal Kombat 9, 2012
Mortal Kombat X, 2012
Mortal Kombat 11, 2012
Killer Instinct, 2012
Killer Instinct 2, 2012
Killer Instinct Gold, 2012
Killer Instinct (2013), 2012
Killer Instinct Classic, 2012
Killer Instinct 2 Classic, 2012
Injustice: Gods Among Us, 2012
Injustice 2, 2012
Divekick, 2012
Fantasy Strike, 2012
Rising Thunder, 2012
Samurai Shodown, 2012
Samurai Shodown II, 2012
Samurai Shodown III, 2012
Samurai Shodown IV, 2012
Samurai Shodown V, 2012
Samurai Shodown VI, 2012
Samurai Shodown 2019, 2012
Bloody Roar, 2012
Bloody Roar 2, 2012
Bloody Roar 3, 2012
Bloody Roar: Primaral Fury, 2012
Bloddy Roar 4, 2012
Blood Roar: Extreme, 2012
Fatal Fury, 2012
Fatal Fury 2, 2012
Fatal Fury 3: Road to the Final Victory, 2012
Fatal Fury Special, 2012
Real Bout Fatal Fury, 2012
Real Bout Fatal Fury Special, 2012
Real Bout Fatal Fury 2: The Newcomers, 2012
Fatal Fury: Wild Ambition, 2012
Garou: Mark of the Wolves, 2012
JoJo's Bizarre Adventure: All-Star Battle R, 2012
JoJo's Bizarre Adventure: Heritage for the Future, 2012
Footsies, 2012
Persona 4 Arena Ultimax, 2012
Soul Calibur, 2012
Soul Calibur II, 2012
Soul Calibur III, 2012
Soul Calibur IV, 2012
Soul Calibur V, 2012
Soul Calibur VI, 2012
Soul Calibur: Broken Destiny, 2012
Soul Calibur: Lost Swords, 2012
Soul Calibur: Unbreakable Soul, 2012
Soul Calibur: Legends, 2012
Dead or Alive, 2012
Dead or Alive 2, 2012
Dead or Alive 3, 2012
Dead or Alive 4, 2012
Dead or Alive 5, 2012
Dead or Alive 6, 2012
The Last Blade, 2012
The Last Blade 2, 2012
Skullgirls 2nd Encore, 2012
Art of Fighting, 2012
Art of Fighting 2, 2012
Art of Fighting 3, 2012
BlazBlue: Calamity Trigger, 2012
BlazBlue: Continuum Shift, 2012
BlazBlue: Continuum Shift II, 2012
BlazBlue: Continuum Shift Extend, 2012
BlazBlue: Chrono Phantasma, 2012
BlazBlue: Chrono Phantasma Extend, 2012
BlazBlue: Central Fiction, 2012
BlazBlue: Cross Tag Battle, 2012
Cyberbots: Fullmetal Madness, 2012
Figtning Vipers, 2012
X-Men: Children of the Atom, 2012
Marvel Super Heroes, 2012
M.U.G.E.N, 2012
Super Gem Fighter Mini Mix, 2012
Pocket Fighter, 2012
Namco X Capcom, 2012
Tatsunoko Vs Capcom: Ultimate All-Stars, 2012
Primal Rage, 2012
Figthing EX Layer, 2012
DNF Duel, 2012
Tatsunko Vs Capcom: Cross Generation of Heroes, 2012
Tatsunoko Fighting, 2012
Power Rangers: Battle for the Grid, 2012




